LakeID,Lake_Name,Sample_Date,Info_Type,Ammonia_mg.L,Calcium_mg.L,Extracted_Chl_ug.L,Secchi_Depth_m,TN_mg.L,TDN_mg.L,pH,TP_mg.L,Conductance_umho.cm,Temperature_Water_C,True_Color_PTU
0703DER0139A,De Ruyter Reservoir,08/20/2006,OW,0.04473,NA,10.11,NA,0.61024,NA,7.63,0.0022,157.2,24.5,12
0703DER0139A,De Ruyter Reservoir,06/19/1993,OW,NA,NA,9.08,NA,NA,NA,8.09,0.003,172,19,8
0703DER0139A,De Ruyter Reservoir,09/18/2005,OW,0.005,NA,3.9,NA,0.085,NA,7.82,0.0053,155.5,22.5,5
0703DER0139A,De Ruyter Reservoir,07/24/2005,OW,0.005,NA,2.5,NA,0.149,NA,7.69,0.006,159.7,26,10
0703DER0139A,De Ruyter Reservoir,06/15/2016,BS,0.049,NA,NA,NA,NA,NA,NA,0.0063,NA,19,NA
0703DER0139A,De Ruyter Reservoir,08/30/2015,BS,0,NA,NA,NA,NA,NA,NA,0.0063,NA,24,NA
0703DER0139A,De Ruyter Reservoir,06/10/2018,OW,0.071,22.7,1.4,NA,0.417,0.463,8.08,0.00635,192.6,22,5
0703DER0139A,De Ruyter Reservoir,08/05/2007,BS,NA,NA,NA,NA,NA,NA,NA,0.0064,NA,21.5,NA
0703DER0139A,De Ruyter Reservoir,08/17/2009,OW,0.011,25.1,1.4,NA,0.203,NA,7.14,0.0064,112.6,27,23
0703DER0139A,De Ruyter Reservoir,06/15/2016,OW,0.064,NA,0.7,NA,0.204,NA,7.94,0.0066,150.9,22,9
0703DER0139A,De Ruyter Reservoir,06/10/2018,BS,0.056,NA,NA,NA,NA,NA,NA,0.00685,NA,20,NA
0703DER0139A,De Ruyter Reservoir,06/21/2010,BS,0.052,NA,NA,NA,NA,NA,NA,0.0069,NA,17,NA
0703DER0139A,De Ruyter Reservoir,06/26/2005,BS,NA,NA,NA,NA,NA,NA,NA,0.0069,NA,18,NA
0703DER0139A,De Ruyter Reservoir,06/16/1996,OW,NA,NA,17.3,NA,NA,NA,8.22,0.007,178,23,5
0703DER0139A,De Ruyter Reservoir,06/18/1995,OW,NA,NA,1.68,NA,NA,NA,8.16,0.007,186,21,4
0703DER0139A,De Ruyter Reservoir,07/09/1988,OW,NA,NA,1.46,NA,NA,NA,8.04,0.007,178,24,5
0703DER0139A,De Ruyter Reservoir,07/13/2008,OW,0.11377,NA,1.11,NA,0.291071,NA,7.48,0.007,129.4,24,NA
0703DER0139A,De Ruyter Reservoir,06/27/2018,BS,0.015,NA,NA,NA,NA,NA,NA,0.0071,NA,21,NA
0703DER0139A,De Ruyter Reservoir,07/29/2002,OW,0.045,NA,2.9,NA,0.412,NA,8.14,0.00715,180,24,11
0703DER0139A,De Ruyter Reservoir,06/26/2005,OW,0.005,NA,10.7,NA,0.19,NA,7.94,0.0072,176.2,25.5,12
0703DER0139A,De Ruyter Reservoir,06/29/2008,BS,NA,NA,NA,NA,NA,NA,NA,0.0073,NA,19,NA
0703DER0139A,De Ruyter Reservoir,07/17/2008,OW,0.0154,20.8,NA,NA,NA,NA,NA,0.00735,NA,NA,5
0703DER0139A,De Ruyter Reservoir,07/08/2012,BS,0.085,NA,NA,NA,NA,NA,NA,0.0075,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,08/09/2008,OW,0.002,19.13,1.81,NA,0.155127,NA,7.4,0.0075,120.6,24,15
0703DER0139A,De Ruyter Reservoir,08/24/2008,OW,0.01058,NA,1.23,NA,0.214415,NA,7.9,0.0075,115.7,25,14
0703DER0139A,De Ruyter Reservoir,08/12/2018,OW,0.012,21.4,1,NA,0.3245,0.327,6.84,0.0076,125.5,27,12
0703DER0139A,De Ruyter Reservoir,09/27/2004,OW,0.0136,NA,1.4,NA,0.7088,NA,7.58,0.0076,103,20.5,1.5
0703DER0139A,De Ruyter Reservoir,07/11/2004,OW,0.0108,NA,3.1,NA,0.1911,NA,6.74,0.0077,179,25.5,NA
0703DER0139A,De Ruyter Reservoir,06/27/2018,OW,0.022,NA,0.4,NA,0.4405,0.451,7.44,0.00785,204.5,21,6
0703DER0139A,De Ruyter Reservoir,09/20/2009,OW,0.0055,NA,1.3,NA,0.232,NA,7.12,0.0079,114.5,20,14
0703DER0139A,De Ruyter Reservoir,07/20/2014,OW,0,NA,2.5,NA,0.196,NA,7.655,0.00795,120.65,25,NA
0703DER0139A,De Ruyter Reservoir,06/19/1994,OW,NA,NA,1.63,NA,NA,NA,8.05,0.008,169,21.5,4
0703DER0139A,De Ruyter Reservoir,07/15/2001,OW,NA,NA,6.05,NA,NA,NA,7.6,0.008,193,20.5,0.5
0703DER0139A,De Ruyter Reservoir,07/24/2005,BS,NA,NA,NA,NA,NA,NA,NA,0.008,NA,18.5,NA
0703DER0139A,De Ruyter Reservoir,07/28/1991,OW,NA,NA,4.33,NA,NA,NA,8.27,0.008,172,24,3
0703DER0139A,De Ruyter Reservoir,08/12/2001,OW,NA,NA,3.18,NA,NA,NA,7.39,0.008,186,26.5,2
0703DER0139A,De Ruyter Reservoir,08/13/1988,OW,NA,NA,3.03,NA,NA,NA,8.33,0.008,157,27,5
0703DER0139A,De Ruyter Reservoir,09/10/1995,OW,NA,NA,4.12,NA,NA,NA,8.05,0.008,180,19,5
0703DER0139A,De Ruyter Reservoir,07/10/2005,BS,NA,NA,NA,NA,NA,NA,NA,0.0081,NA,20,NA
0703DER0139A,De Ruyter Reservoir,08/29/2018,BS,0.021,NA,NA,NA,NA,NA,NA,0.0081,NA,25,NA
0703DER0139A,De Ruyter Reservoir,08/16/2010,BS,0.052,NA,NA,NA,NA,NA,NA,0.0082,NA,NA,NA
0703DER0139A,De Ruyter Reservoir,09/05/2005,BS,NA,NA,NA,NA,NA,NA,NA,0.0082,NA,20,NA
