LakeID,Lake_Name,Sample_Date,Info_Type,Ammonia_mg.L,Calcium_mg.L,Extracted_Chl_ug.L,Secchi_Depth_m,TN_mg.L,TDN_mg.L,pH,TP_mg.L,Conductance_umho.cm,Temperature_Water_C,True_Color_PTU
0602EAT0163,Eaton Brook Reservoir,05/25/2015,OW,0.037,20.3,2.9,NA,0.348,NA,7.38,0.0103,164.4,20,3
0602EAT0163,Eaton Brook Reservoir,05/25/2015,BS,0.04,NA,NA,NA,NA,NA,NA,0.0256,NA,16,NA
0602EAT0163,Eaton Brook Reservoir,06/02/2017,OW,0.048,22.8,1,NA,0.39,NA,6.94,0.0079,164.9,17,11
0602EAT0163,Eaton Brook Reservoir,06/02/2017,BS,0.051,NA,NA,NA,NA,NA,NA,0.0069,NA,16,NA
0602EAT0163,Eaton Brook Reservoir,06/03/2000,OW,NA,NA,1.31,NA,NA,NA,8.05,0.009,159,17,7
0602EAT0163,Eaton Brook Reservoir,06/03/2000,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,06/05/2011,OW,0.032,24.1,1.9,NA,0.184,NA,7.25,0.0115,142,18.5,23
0602EAT0163,Eaton Brook Reservoir,06/05/2011,BS,0.026,NA,NA,NA,NA,NA,NA,0.0115,NA,10,NA
0602EAT0163,Eaton Brook Reservoir,06/06/2016,OW,0.03,NA,0.6,NA,0.25,NA,7.44,0.0092,119.1,21,14
0602EAT0163,Eaton Brook Reservoir,06/06/2016,BS,0.102,NA,NA,NA,NA,NA,NA,0.0086,NA,18,NA
0602EAT0163,Eaton Brook Reservoir,06/09/1997,OW,NA,NA,2.32,NA,NA,NA,8.03,0.004,162,19,10
0602EAT0163,Eaton Brook Reservoir,06/09/1997,BS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0602EAT0163,Eaton Brook Reservoir,06/09/2015,OW,0,NA,1.6,NA,0.294,NA,7.21,0.0055,166.2,23,8
0602EAT0163,Eaton Brook Reservoir,06/09/2015,BS,0,NA,NA,NA,NA,NA,NA,0.0044,NA,15,NA
