LakeID,Lake_Name,Sample_Name,Sample_Date,ESF_no,UFI_no,Data_Provider,Info_Type,LocationID,Latitude,Longitude,Sample_Depth_m,Secchi_Depth_m,DO_mg.L,Bottom_DO_mg.L,pH,TP_mg.L,Conductance_umho.cm,Temperature_Air_C,Temperature_Water_C,TN_mg.L,TDN_mg.L,Ammonia_mg.L,Nox_mg.L,Nitrate_mg.L,Nitirite_mg.L,True_Color_PTU,Chloride_mg.L,Calcium_mg.L,Chl.a_probe_ug.L,Extracted_Chl_ug.L,ESF_FP_Chl_ug.L,ESF_FB_BGA_ug.L,ESF_Microcystin_mg.L,HAB_Status,Alkalinity_CaCO3_mg.L,DOC_mg.L,UV_254_1.cm,Iron_ug.L,Manganese_ug.L,Arsenic_ug.L,QA,QB,QC,Surface_Area_ha,County,Major_Basin,Water_Class,Screening_2016
0703CAZ0153,Cazenovia Lake,88-41-01,06/13/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,6.1,,,8.5,0.023,294,24,18,,,,0.01,,,7,,,,3.03,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
0703CAZ0153,Cazenovia Lake,88-41-02,06/20/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,6.25,,,8.54,0.012,279,25,23,,,,0.01,,,9,,,,1.6,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
0703CAZ0153,Cazenovia Lake,88-41-03,06/27/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,6.17,,,8.55,0.01,289,15,19,,,,0.01,,,8,,,,2,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
0703CAZ0153,Cazenovia Lake,88-41-04,07/04/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,6.2,,,8.16,0.011,310,26,20,,,,0.01,,,2,,,,3.77,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
0703CAZ0153,Cazenovia Lake,88-41-05,07/11/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,5.52,,,8.51,0.009,288,24,26,,,,0.01,,,5,,,,2.81,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
0703CAZ0153,Cazenovia Lake,88-41-06,07/18/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,5.05,,,8.57,0.012,301,21,25,,,,0.01,,,5,,,,3.18,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
0703CAZ0153,Cazenovia Lake,88-41-07,07/25/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,4.39,,,8.34,0.01,286,20,22,,,,0.01,,,4,,,,3.18,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
0703CAZ0153,Cazenovia Lake,88-41-08,08/01/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,6.27,,,8.36,0.01,161,22,25,,,,0.01,,,4,,,,2,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
0703CAZ0153,Cazenovia Lake,88-41-09,08/08/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,5.95,,,8.33,0.009,265,20,24,,,,0.01,,,4,,,,1.92,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
0703CAZ0153,Cazenovia Lake,88-41-10,08/15/1988,,,CSL,OW,0703CAZ0153_C,42.9482002,-75.8720016,1.5,5.88,,,8.45,0.009,261,25,25,,,,0.01,,,5,,,,2.74,,,,,,,,,,,,,,479.2,Madison,Seneca-Oneida-Oswego River Basin,A,
