LakeID,Lake_Name,Sample_Date,Info_Type,Ammonia_mg.L,Calcium_mg.L,Extracted_Chl_ug.L,Secchi_Depth_m,TN_mg.L,TDN_mg.L,pH,TP_mg.L,Conductance_umho.cm,Temperature_Water_C,True_Color_PTU
0703CAZ0153,Cazenovia Lake,06/13/1988,OW,,,3.03,6.1,,,8.5,0.023,294,18,7
0703CAZ0153,Cazenovia Lake,06/20/1988,OW,,,1.6,6.25,,,8.54,0.012,279,23,9
0703CAZ0153,Cazenovia Lake,06/27/1988,OW,,,2,6.17,,,8.55,0.01,289,19,8
0703CAZ0153,Cazenovia Lake,07/04/1988,OW,,,3.77,6.2,,,8.16,0.011,310,20,2
0703CAZ0153,Cazenovia Lake,07/11/1988,OW,,,2.81,5.52,,,8.51,0.009,288,26,5
0703CAZ0153,Cazenovia Lake,07/18/1988,OW,,,3.18,5.05,,,8.57,0.012,301,25,5
0703CAZ0153,Cazenovia Lake,07/25/1988,OW,,,3.18,4.39,,,8.34,0.01,286,22,4
0703CAZ0153,Cazenovia Lake,08/01/1988,OW,,,2,6.27,,,8.36,0.01,161,25,4
0703CAZ0153,Cazenovia Lake,08/08/1988,OW,,,1.92,5.95,,,8.33,0.009,265,24,4
0703CAZ0153,Cazenovia Lake,08/15/1988,OW,,,2.74,5.88,,,8.45,0.009,261,25,5
0703CAZ0153,Cazenovia Lake,08/22/1988,OW,,,1.85,4.8,,,8.34,0.012,264,25,5
0703CAZ0153,Cazenovia Lake,08/29/1988,OW,,,4.51,5.06,,,8.42,0.013,257,21,5
0703CAZ0153,Cazenovia Lake,09/04/1988,OW,,,3.26,5.58,,,8.3,0.013,264,22,5
0703CAZ0153,Cazenovia Lake,09/12/1988,OW,,,3.4,5.87,,,8.36,0.011,270,21,7
0703CAZ0153,Cazenovia Lake,09/19/1988,OW,,,2.22,4.83,,,7.88,0.013,281,25,8
0703CAZ0153,Cazenovia Lake,06/28/1989,OW,,,2.43,7.32,,,8.47,0.012,288,7.222222222,7
0703CAZ0153,Cazenovia Lake,07/10/1989,OW,,,1.91,6.48,,,8.47,0.01,285,9,6
0703CAZ0153,Cazenovia Lake,07/24/1989,OW,,,3.29,5.64,,,8.56,0.006,278,23,5
0703CAZ0153,Cazenovia Lake,08/07/1989,OW,,,4.25,5.03,,,8.55,0.01,271,21,2
0703CAZ0153,Cazenovia Lake,08/21/1989,OW,,,,6.04,,,8.37,0.009,280,21,7
0703CAZ0153,Cazenovia Lake,09/05/1989,OW,,,4.48,4.85,,,8.33,0.011,279,18,2
0703CAZ0153,Cazenovia Lake,09/18/1989,OW,,,3.64,6.63,,,8.43,0.008,278,18,5
0703CAZ0153,Cazenovia Lake,10/02/1989,OW,,,8.97,4.25,,,8.48,0.02,283,15,8
0703CAZ0153,Cazenovia Lake,07/02/1990,OW,,,9.38,4.98,,,8.36,0.011,308,20,5
0703CAZ0153,Cazenovia Lake,07/16/1990,OW,,,9.62,4.85,,,8.41,0.01,301,20,7
0703CAZ0153,Cazenovia Lake,08/01/1990,OW,,,4.64,4.465,,,8.26,0.008,240,23,3
