"","Lake_Name","TP_Mean","TP_SD","Chlorophyll-a_Mean","Chlorophyll-a_SD","Secchi_Mean","Secchi_SD"
"1","Augur Lake",21.1951219512195,5.38488399222825,7.61463414634146,5.62007833466802,3.05,0.688364840652218
"4","Babcock Lake",9.36875,2.22214734655181,3.16808510638298,1.80868753556138,4.204375,0.840945279293461
"7","Big Bowman Pond",14.24,3.6338719901815,7.47948717948718,4.32015956620388,2.14625,0.474225076389812
"10","Bradley Brook Reservoir",10.045,2.84739647163276,1.825,1.0637982264822,6.389375,1.01509263660882
"13","Brantingham Lake",9.2325,2.06625978211344,5.4425,3.30577486164703,3.254375,0.866944374269147
"16","Burden Third Lake",12.5736842105263,11.2707390632876,3.71621621621622,3.49948516161969,4.47027027027027,1.1980574241628
"19","Canada Lake",5.07391304347826,1.17802750064272,2.03333333333333,0.812124038891507,4.19565217391304,0.69664482317881
"22","Cazenovia Lake",19.2,6.96748085563816,3.04166666666667,1.98959794933549,4.17089743589744,0.924706121022463
"25","Chenango Lake",10.6291666666667,3.89664112496103,2.475,1.54086187542847,4.87135416666667,0.961976433771226
"28","Craine Lake",13.13,8.39799121279943,1.92875,1.26601978252458,3.18410256410256,1.15907794104379
"31","Crooked Lake",15.1275,2.89765488734491,6.14571428571429,3.97990118537862,3.35197368421053,0.741537427272231
"34","Cuba Lake",19.268085106383,7.83323761103034,7.7195652173913,7.62232450882763,3.07021276595745,1.00723791361133
"37","De Ruyter Reservoir",14.4541666666667,8.09620237566981,2.16458333333333,1.01152709145014,4.9765625,1.17836668255846
"40","Eagle Lake",7.88181818181818,4.98071969803154,1.08571428571429,0.476046435822424,6.85555555555556,1.4249091766201
"43","Eagle Pond",17.3575,13.9405677605749,3.47125,5.36713512249104,1.41787878787879,0.12180305763192
"46","East Caroga Lake",17.9,21.4132933112771,3.51195652173913,5.05888859975532,3.64255319148936,0.603534762102134
"49","Eaton Brook Reservoir",11.0024390243902,9.35629434671863,1.49615384615385,0.843737348083281,5.56585365853658,1.34426741314695
"52","Echo Lake",13.2,4.72631616760126,4.02096774193548,4.14901141224325,2.65859375,0.724585793107056
"55","Efner Lake",6.8725,2.49902416852495,1.93333333333333,1.33876088296394,3.97,0.813491997974922
"58","Forest Lake",11.6939393939394,2.77893183097609,4.22424242424242,3.43147474701388,2.44590909090909,0.390483383420182
"61","Friends Lake",7.755,1.69038760537643,3.22820512820513,3.52277915990297,4.43125,0.774736307496845
"64","Galway Lake",18.468085106383,24.3472622010823,3.11086956521739,1.4914911644793,3.36276595744681,0.694110948804796
"67","Geneganslet Lake",10.76,6.78421244224696,2.89,2.79567431432828,3.08769736842105,0.535917494904056
"70","Glen Lake",8.10909090909091,2.41293203692088,2.59767441860465,2.51608997228154,4.07954545454545,0.865106404385663
"73","Grass Lake",16.0774193548387,5.4548272002829,2.63428571428571,3.21501009577985,3.22424242424242,0.831895539953148
"76","Guilford Lake",22.9282608695652,20.9236990891878,6.63222222222222,6.73649453245964,3.11413043478261,1.29883122859996
"79","Hadlock Pond",7.725,1.75129988352974,2.7925,1.18999838396787,4.791875,1.0187723176728
"82","Hatch Lake",12.0575,2.3474904767563,2.915,1.77005722057299,5.03076923076923,1.29546858950604
"85","Hunt Lake",9.79473684210526,8.12297200864318,2.44210526315789,0.902738050942907,3.685,0.729875296689749
"88","Indian Lake",9.56111111111111,2.08753693560529,0.870588235294118,0.470059445552306,6.35588235294118,0.888271205935506
"91","Jenny Lake",6.9974358974359,1.63296423712526,3.2,2.17913942845534,3.74283783783784,0.924088545345975
"94","Kasoag Lake",13.2820512820513,4.69293263686397,5.38684210526316,10.3917891457665,3.79102564102564,0.480524904178506
"97","Lake Anawanda",6.92173913043478,2.28676511386507,1.99130434782609,1.56657107324763,5.93833333333333,1.67012179740934
"100","Lake Bonaparte",9.45531914893617,7.05927722961957,2.03404255319149,0.957187137158229,4.36222222222222,0.635337737273681
"103","Lake Devenoge",8.3,1.75223994577975,2.93333333333333,1.76426859580987,3.70769230769231,0.594927274159171
"106","Lake Forest",13.0102564102564,11.3368935425751,5.12051282051282,6.43465860081495,3.33525641025641,0.711413482476915
"109","Lake of the Woods",7.84583333333333,3.10763144346394,1.07083333333333,0.492093280894435,5.49791666666667,0.806020709447326
"112","Lake Petonia",9.36382978723404,2.89935716502775,1.8304347826087,1.38176530652598,5.0825,1.21161457721543
"115","Lake Placid",4.544,1.50090584892822,1.86595744680851,0.980522619242164,7.70707317073171,1.30641588688755
"118","Lake Pleasant",7.0125,1.21737868782282,2.50833333333333,1.34549705270602,4.54565217391304,0.529131587749352
"121","Lake Sunnyside",12.9025641025641,3.50507055109468,2.16315789473684,2.33405123413875,6.14525641025641,0.799712077067633
"124","Lincoln Pond",7.45333333333333,3.14530118434306,1.85333333333333,0.804184458739511,4.18833333333333,0.719875867332567
"127","Little Long Pond",31.9021276595745,42.54658566673,1.98914893617021,1.55026341350393,3.02127659574468,0.712028232895531
"130","Loon Lake",12.1666666666667,2.74822736017026,2.61666666666667,3.22644193132805,4.065625,0.779255788129503
"133","Lorton Lake",19.9230769230769,10.8740023508139,5.64736842105263,5.35530738725134,1.939375,0.422658158982929
"136","Millsite Lake",8.60869565217391,3.39436304526958,1.56222222222222,0.929146453102594,7.50555555555556,0.999444290037663
"139","Oquaga Lake",5.38723404255319,1.99353487895209,0.946739130434783,0.477074670828261,8.13829787234043,1.34074779450635
"142","Otter Lake",14.0625,4.35243721119781,4.51935483870968,2.21034225929511,1.5046875,0.104232506074548
"145","Panther Lake",15.44,8.40306183934535,5.74655172413793,3.3743764247869,2.10875,0.660902336316152
"148","Peck Lake",6.5475,1.70444178394916,3.01388888888889,1.54108547603449,3.40477941176471,0.50735139922006
"151","Pleasant Lake",7.38648648648649,3.01930475460845,2.23055555555556,0.907057863784868,4.25945945945946,0.384750611478439
"154","Queechy Lake",8.735,2.35225478299069,1.93723404255319,2.54454805257425,5.64021739130435,1.32722013435005
"157","Roaring Brook Lake",12.97,3.56674095297668,3.69102564102564,2.1537565650348,2.79230769230769,0.687629266463525
"160","Round Pond",10.9529411764706,2.81610469137754,3.67878787878788,2.78553827560285,2.39264705882353,0.497894407836364
"163","Sacandaga Lake",9.0125,2.66136815092963,3.55,1.56441073646947,4.4875,0.538566939039231
"166","Schroon Lake",8.49210526315789,7.84659184033246,1.63921568627451,1.23803528727941,3.967,1.02590731102318
"169","Sepasco Lake",17.6,4.56826359332126,5.15,3.7012639515049,3.10090909090909,0.652761507158068
"172","Silver Lake",9.62083333333333,2.8252628070815,4.79787234042553,3.38670606686626,3.92409090909091,0.615644182125683
"175","Somerset Lake",10.1212765957447,2.67670597126659,2.20851063829787,1.83253563785668,4.8375,1.28732569569962
"178","Song Lake",16.46625,4.64456378537428,3.985,1.79637098561202,2.99567567567568,0.682945176506954
"181","Spring Lake",12.5375,9.80111086528198,1.8046875,2.41918939286456,2.51453125,0.623083331266062
"184","Taconic Lake",6.45833333333333,2.69926184219939,1.34375,1.30528295283303,4.36980769230769,0.727922359553862
"187","Tully Lake",14.8,3.80011198043292,4.53829787234043,2.19718725246318,4.15641025641026,0.859366312371742
"190","Tuscarora Lake",11.3846153846154,3.26218674330243,2.52702702702703,2.4271209108563,4.90384615384615,1.60793200855308
"193","Tuxedo Lake",20.4085714285714,9.93041588574545,5.87837837837838,3.4664371025862,3.19986486486486,1.21733742154667
"196","Upper Little York Lake",13.2421052631579,4.77989209303438,2.14459459459459,1.79504657103714,4.18333333333333,1.05166534601079
"199","Warn Lake",11.7291666666667,3.05585996764315,4.34130434782609,1.7694413540194,3.44791666666667,0.809777900554807
"202","Yankee Lake",18.1433333333333,14.4030572265497,2.95333333333333,1.01632649292926,3.21183333333333,0.655390753848332
