"","Lake_Name","variable","Mean","Median","Min","Max","SD"
"1","Augur Lake","Secchi_Depth",3.05,2.825,1.65,4.85,0.688364840652218
"2","Augur Lake","TP",21.1951219512195,20.3,12.6,37.3,5.38488399222825
"3","Augur Lake","Extracted_Chl.a",7.61463414634146,6.5,1.5,34.2,5.62007833466802
"4","Babcock Lake","Secchi_Depth",4.204375,4.225,2.03,6,0.840945279293461
"5","Babcock Lake","TP",9.36875,9.05,6.5,17.8,2.22214734655181
"6","Babcock Lake","Extracted_Chl.a",3.16808510638298,2.9,0.9,8,1.80868753556138
"7","Big Bowman Pond","Secchi_Depth",2.14625,2.0875,1.35,3.8,0.474225076389812
"8","Big Bowman Pond","TP",14.24,12.85,8.8,24.7,3.6338719901815
"9","Big Bowman Pond","Extracted_Chl.a",7.47948717948718,6.6,1.5,19.2,4.32015956620388
"10","Bradley Brook Reservoir","Secchi_Depth",6.389375,6.15,4.55,8.7,1.01509263660882
"11","Bradley Brook Reservoir","TP",10.045,9.4,6.5,19.9,2.84739647163276
"12","Bradley Brook Reservoir","Extracted_Chl.a",1.825,1.8,0.1,4.4,1.0637982264822
"13","Brantingham Lake","Secchi_Depth",3.254375,3.325,1.7,4.775,0.866944374269147
"14","Brantingham Lake","TP",9.2325,9.05,5.3,15,2.06625978211344
"15","Brantingham Lake","Extracted_Chl.a",5.4425,4.65,0.3,14.4,3.30577486164703
"16","Burden Third Lake","Secchi_Depth",4.47027027027027,4.3,1.6,7.05,1.1980574241628
"17","Burden Third Lake","TP",12.5736842105263,9.95,6.7,75.5,11.2707390632876
"18","Burden Third Lake","Extracted_Chl.a",3.71621621621622,2.5,0.5,17.8,3.49948516161969
"19","Canada Lake","Secchi_Depth",4.19565217391304,4.2,2.95,5.8,0.69664482317881
"20","Canada Lake","TP",5.07391304347826,4.7,3.3,8,1.17802750064272
"21","Canada Lake","Extracted_Chl.a",2.03333333333333,1.9,0.8,3.9,0.812124038891507
"22","Cazenovia Lake","Secchi_Depth",4.17089743589744,4.15,1.62,7,0.924706121022463
"23","Cazenovia Lake","TP",19.2,17.1,10.6,42.1,6.96748085563816
"24","Cazenovia Lake","Extracted_Chl.a",3.04166666666667,2.3,0.9,9.3,1.98959794933549
"25","Chenango Lake","Secchi_Depth",4.87135416666667,4.725,3,6.95,0.961976433771226
"26","Chenango Lake","TP",10.6291666666667,10,4.8,28.4,3.89664112496103
"27","Chenango Lake","Extracted_Chl.a",2.475,2.05,0.5,7.8,1.54086187542847
"28","Craine Lake","Secchi_Depth",3.18410256410256,2.7,1.7,6.65,1.15907794104379
"29","Craine Lake","TP",13.13,10.6,7,51.9,8.39799121279943
"30","Craine Lake","Extracted_Chl.a",1.92875,1.85,0.05,4.8,1.26601978252458
"31","Crooked Lake","Secchi_Depth",3.35197368421053,3.3,2.05,4.65,0.741537427272231
"32","Crooked Lake","TP",15.1275,14.8,7.7,21.5,2.89765488734491
"33","Crooked Lake","Extracted_Chl.a",6.14571428571429,4.5,1.3,16.7,3.97990118537862
"34","Cuba Lake","Secchi_Depth",3.07021276595745,2.95,1.4,5.85,1.00723791361133
"35","Cuba Lake","TP",19.268085106383,17.4,8.9,46.9,7.83323761103034
"36","Cuba Lake","Extracted_Chl.a",7.7195652173913,6.6,0.5,49.1,7.62232450882763
"37","De Ruyter Reservoir","Secchi_Depth",4.9765625,4.725,3.25,7.7,1.17836668255846
"38","De Ruyter Reservoir","TP",14.4541666666667,13.1,3.6,62.9,8.09620237566981
"39","De Ruyter Reservoir","Extracted_Chl.a",2.16458333333333,2,0.4,4.4,1.01152709145014
"40","Eagle Lake","Secchi_Depth",6.85555555555556,6.9,2.55,10.55,1.4249091766201
"41","Eagle Lake","TP",7.88181818181818,6.3,4,32.7,4.98071969803154
"42","Eagle Lake","Extracted_Chl.a",1.08571428571429,1.1,0.3,2.6,0.476046435822424
"43","Eagle Pond","Secchi_Depth",1.41787878787879,1.4,1.2,1.8,0.12180305763192
"44","Eagle Pond","TP",17.3575,12.3,6.8,82.4,13.9405677605749
"45","Eagle Pond","Extracted_Chl.a",3.47125,1.95,0.05,32.5,5.36713512249104
"46","East Caroga Lake","Secchi_Depth",3.64255319148936,3.7,2.45,5,0.603534762102134
"47","East Caroga Lake","TP",17.9,9,5.1,110.1,21.4132933112771
"48","East Caroga Lake","Extracted_Chl.a",3.51195652173913,2.4,0.05,31.5,5.05888859975532
"49","Eaton Brook Reservoir","Secchi_Depth",5.56585365853658,5.5,2.65,9.1,1.34426741314695
"50","Eaton Brook Reservoir","TP",11.0024390243902,9.2,5.5,66.4,9.35629434671863
"51","Eaton Brook Reservoir","Extracted_Chl.a",1.49615384615385,1.3,0.05,3.6,0.843737348083281
"52","Echo Lake","Secchi_Depth",2.65859375,2.625,1.65,4,0.724585793107056
"53","Echo Lake","TP",13.2,11.6,8.4,31.4,4.72631616760126
"54","Echo Lake","Extracted_Chl.a",4.02096774193548,2.6,0.05,17.4,4.14901141224325
"55","Efner Lake","Secchi_Depth",3.97,3.8,2.7,6.7,0.813491997974922
"56","Efner Lake","TP",6.8725,6.3,3.3,15.9,2.49902416852495
"57","Efner Lake","Extracted_Chl.a",1.93333333333333,1.5,0.4,7.8,1.33876088296394
"58","Forest Lake","Secchi_Depth",2.44590909090909,2.4,1.7,3.13,0.390483383420182
"59","Forest Lake","TP",11.6939393939394,11.6,7.6,21.1,2.77893183097609
"60","Forest Lake","Extracted_Chl.a",4.22424242424242,3.4,0.6,16.3,3.43147474701388
"61","Friends Lake","Secchi_Depth",4.43125,4.35,3.1,6.95,0.774736307496845
"62","Friends Lake","TP",7.755,7.5,4.1,13.6,1.69038760537643
"63","Friends Lake","Extracted_Chl.a",3.22820512820513,2.6,0.2,23.4,3.52277915990297
"64","Galway Lake","Secchi_Depth",3.36276595744681,3.35,2,4.9,0.694110948804796
"65","Galway Lake","TP",18.468085106383,10.7,7.3,152.2,24.3472622010823
"66","Galway Lake","Extracted_Chl.a",3.11086956521739,3.2,0.3,6.8,1.4914911644793
"67","Geneganslet Lake","Secchi_Depth",3.08769736842105,2.925,2.3,5,0.535917494904056
"68","Geneganslet Lake","TP",10.76,9.4,5.5,47.8,6.78421244224696
"69","Geneganslet Lake","Extracted_Chl.a",2.89,2.25,0.3,18.8,2.79567431432828
"70","Glen Lake","Secchi_Depth",4.07954545454545,4,2.6,6,0.865106404385663
"71","Glen Lake","TP",8.10909090909091,7.5,4.3,16,2.41293203692088
"72","Glen Lake","Extracted_Chl.a",2.59767441860465,1.8,0.6,13.3,2.51608997228154
