"","Dreissenids","Info_Type","variable","Mean","Median","Min","Max","SD"
"1","Invaded","BS","TP",0.0394529411764706,0.01985,0,0.3742,0.0532436458328678
"2","Invaded","BS","Temp_Water",15.1119642857143,15,5,25,5.29899437778142
"3","Invaded","BS","CA.SA",27.8885724889537,6.507352941,4.4873502,189.8550725,54.364769545183
"4","Invaded","BS","Mean_Depth_m",6.23274021352313,6.2,3.7,9.9,1.72758997081772
"5","Invaded","BS","Percent_Ag",20.4661921708185,20,1,48,15.5041387130781
"6","Invaded","OW","Secchi_Depth",4.53655948553055,4.4,1.1,9.1,1.39597979078809
"7","Invaded","OW","TP",0.0127628571428571,0.011,0.0036,0.0664,0.0070939409484548
"8","Invaded","OW","Temp_Water",23.3038815789474,24,10,36,2.86058327947317
"9","Invaded","OW","TN",0.523266637820513,0.36881,0,4.124,0.439977508770597
"10","Invaded","OW","True_Color",12.9529220779221,11,0.5,55,9.24575214905342
"11","Invaded","OW","Calcium",28.4275,24.45,14.3,57.8,11.3317567719424
"12","Invaded","OW","Extracted_Chl.a",2.37222222222222,1.9,0.05,13.3,1.83957308740316
"13","Invaded","OW","ESF_FP_Chl.a",1.94522321428571,1.6,0,12.15,1.63457292572204
"14","Invaded","OW","ESF_FP_BGA",0.481331168831169,0.1,0,10.36,0.983598316858879
"15","Invaded","OW","ESF_Microcystin",0.643753613823125,0.44,0.328519086029634,1.84,0.534526147396487
"16","Invaded","OW","TN_TP",46.7654163799164,31.1827007943513,0,240.595238095238,41.1051111185474
"17","Invaded","OW","CA.SA",28.2305623367015,10.78037007,4.4873502,189.8550725,53.9122087248165
"18","Invaded","OW","Mean_Depth_m",6.23323076923077,6.2,3.7,9.9,1.69745734659071
"19","Invaded","OW","Percent_Ag",19.3446153846154,20,1,48,15.2996210593075
"20","Invaded","SB","Secchi_Depth",2.75,2.75,2.75,2.75,NA
"21","Invaded","SB","ESF_FP_Chl.a",2138.20083333333,142.635,0.2,31507.5,6226.95086402492
"22","Invaded","SB","ESF_FP_BGA",2002.83133333333,85.475,0,31507.5,6221.88766192014
"23","Invaded","SB","ESF_Microcystin",74.9337705511344,43.8401076640764,0.834692605811408,361.241044783215,92.4475121977094
"24","Invaded","SB","CA.SA",14.2438912011667,4.807692308,4.653589316,189.8550725,40.6437345147485
"25","Invaded","SB","Mean_Depth_m",5.71333333333333,7.1,3.7,9.9,1.90151292723173
"26","Invaded","SB","Percent_Ag",32.5666666666667,21.5,20,48,13.5988118457393
"27","Uninvaded","BS","Secchi_Depth",5.1,5.1,5.1,5.1,NA
"28","Uninvaded","BS","TP",0.0326972881355932,0.0126,5e-04,0.3924,0.0582766244613325
"29","Uninvaded","BS","Temp_Water",14.9968609865471,16,4,29,6.51620564808661
"30","Uninvaded","BS","TN",0.373,0.373,0.373,0.373,NA
"31","Uninvaded","BS","True_Color",17,17,17,17,NA
"32","Uninvaded","BS","Extracted_Chl.a",1.6,1.6,1.6,1.6,NA
"33","Uninvaded","BS","ESF_FP_Chl.a",0.63,0.63,0.63,0.63,NA
"34","Uninvaded","BS","ESF_FP_BGA",0,0,0,0,NA
"35","Uninvaded","BS","TN_TP",8.1978021978022,8.1978021978022,8.1978021978022,8.1978021978022,NA
"36","Uninvaded","BS","CA.SA",40.7716391801715,12.69296741,6.507352941,210.4247104,66.2966695341472
"37","Uninvaded","BS","Mean_Depth_m",8.54660194174757,8.5,4.2,21.3,5.11336704203987
"38","Uninvaded","BS","Percent_Ag",19.294498381877,18,0,44,16.9224933541792
"39","Uninvaded","OW","Secchi_Depth",4.13621855345912,4,1,8.7,1.46800075325166
"40","Uninvaded","OW","TP",0.0121586102719033,0.0096,0.0033,0.0992,0.0106775838489184
"41","Uninvaded","OW","Temp_Water",23.2055555555556,23,13,33,3.34753178246426
"42","Uninvaded","OW","TN",0.354305204892966,0.331,0.108,1.239,0.153623984042778
"43","Uninvaded","OW","True_Color",14.2378787878788,13,0.5,59,8.81687669391599
"44","Uninvaded","OW","Calcium",11.8919047619048,7.7,1.53,58.3,12.7947186585592
"45","Uninvaded","OW","Extracted_Chl.a",3.30942249240122,2.3,0.05,24.6,3.65955597994432
"46","Uninvaded","OW","ESF_FP_Chl.a",2.73637168141593,1.61,0,57.04,5.02110648486467
"47","Uninvaded","OW","ESF_FP_BGA",1.11247706422018,0.11,0,31.02,3.07959845879574
"48","Uninvaded","OW","ESF_Microcystin",0.517228154270943,0.42,0.204463648404415,1.77950856351394,0.392902135890072
"49","Uninvaded","OW","TN_TP",37.2763128401299,32.9447852760736,5.2858958068615,112.636363636364,19.5952930968976
"50","Uninvaded","OW","CA.SA",45.9527334505868,17.21153846,6.507352941,210.4247104,70.1497388793184
"51","Uninvaded","OW","Mean_Depth_m",8.72844311377245,8.5,4.2,21.3,5.36154133591771
"52","Uninvaded","OW","Percent_Ag",16.7814371257485,18,0,44,15.6196385309769
"53","Uninvaded","SB","ESF_FP_Chl.a",1560.474375,632.615,0.28,8512.5,2245.85756342937
"54","Uninvaded","SB","ESF_FP_BGA",962.996875,31.275,0,8512.5,2253.47501653696
"55","Uninvaded","SB","ESF_Microcystin",276.069607714128,276.069607714128,276.069607714128,276.069607714128,NA
"56","Uninvaded","SB","CA.SA",18.633559937125,14.952252935,6.507352941,31.52173913,10.7973040924588
"57","Uninvaded","SB","Mean_Depth_m",6.8875,7.55,4.2,8.9,1.94965808968308
"58","Uninvaded","SB","Percent_Ag",18.1875,18,1,41,8.16675170023758
