LakeID,Lake Name,Proj. Code,Sample Name,Sample Date,Data Provider,Info Type,LocationID,Latitude,Longitude,Sample Depth (m),Secchi Depth (m),DO (mg/L),Bottom DO (mg/L),pH,TP (mg/L),TDP (mg/L),Conductance (umho/cm),"Temperature, air (deg C)","Temperature, water (deg C)",TN (mg/L),TDN (mg/L),Ammonia (mg/L),NOx (mg/L),Nitrate (mg/L),Nitrite (mg/L),True Color (ptu),Chloride (mg/L),Calcium (mg/L),Chl.a (probe) (ug/L),Extracted Chl.a (ug/L),UFI/SBK FP Chl.a (ug/L),UFI/SBK FP BGA (ug/L),(UFI/SBK Microcystin (ug/L)),ESF FP Chl.a (ug/L),ESF FP BGA (ug/L),ESF Microcystin (ug/L),HAB Status,Alkalinity as CaCO3 (mg/L),DOC (mg/L),UV 254 (1/cm),Iron (ug/L),Manganese (ug/L),Arsenic (ug/L),QA,QB,QC
1005GLE0441,Glen Lake,8,16-08-02,07/04/2016,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.95,,,7.59,0.0068,,424.5,21,24,0.321,,,,,,15,,,,0.8,,,,,0,ND,,,,,,,,3,3,3
1005GLE0441,Glen Lake,8,16-08-03,07/11/2016,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4,,,7.55,0.0081,,362.7,23,26,0.197,,0.028,0.0035,,,23,51.7,,,1.7,,,,,0,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,16-08-04,07/26/2016,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.95,,,8.37,0.0077,,451.2,25,26,0.202,,,,,,15,,,,1.5,,,,,0.36,ND,,,,,,,,2,3,3
1005GLE0441,Glen Lake,8,16-08-05,08/01/2016,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4,,,7.37,0.0061,,405.9,22,26,0.214,,0.076,0.034,,,18,,,,0.6,,,,,0.2,ND,No Bloom,,,,,,,2,3,3
1005GLE0441,Glen Lake,8,16-08-01,06/14/2016,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,5.95,,,7.37,0.0063,,399.9,17,19,0.215,,0.102,0.029,,,11,,,,1.1,,,,,0,ND,,,,,,,,,,
1005GLE0441,Glen Lake,8,16-08-06,08/14/2016,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4.05,,,7.51,0.0067,,388,25,27,0.515,,,,,,16,,,,1.7,,,,,0.17,ND,,,,,,,,2,4,2
1005GLE0441,Glen Lake,8,16-08-07,08/29/2016,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4.9,,,7.99,0.0076,,339.6,26,26,0.29,,0.0075,0.0035,,,22,74.1,,,1.5,,,,,0.19,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,16-08-08,09/17/2016,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.55,,,7.77,0.0086,,416.4,24,23,0.229,,,,,,14,,,,3.8,,,,,0.42,ND,,,,,,,,2,3,3
1005GLE0441,Glen Lake,8,15-08-01,06/10/2015,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,2.6,,,7.76,,,400.2,22,25,0.291,,0.022,0.00275,,,6,,21.3,,13.3,,,,2.45,0,ND,,,,,,,,3,3,3
1005GLE0441,Glen Lake,8,15-08-02,06/22/2015,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.3,,,7.45,,,403.6,21,22,0.189,,0,,,,3,,,,3.2,,,,2.21,0,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,15-08-03,07/06/2015,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4.4,,,7.27,,,424.2,25,27,0.4,,0.046,0.00275,,,6,70.9,,,2,,,,1.15,0,ND,,,,,,,,2,2,2
1005GLE0441,Glen Lake,8,15-08-04,07/21/2015,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,5.1,,,7.2,,,410.3,22,26,0.301,,0,,,,10,,,,1,,,,1.37,0,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,15-08-05,08/02/2015,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,6,,,8.22,,,267.8,29,27,0.522,,0.035,0.008,,,8,,27.2,,1,,,,0.76,0,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,15-08-06,08/17/2015,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4.9,,,7.63,,,386.6,23,25,0.561,,0,,,,5,,,,1.4,,,,0.42,0,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,15-08-07,08/30/2015,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4.8,,,7.26,,,385.1,24,25,0.989,,0.047,0.012,,,4,76.9,,,1.4,,,,0,0,ND,,,,,,,,2,2,2
1005GLE0441,Glen Lake,8,15-08-08,09/12/2015,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,5.1,,,7.29,,,412,22,19,0.474,,0,,,,3,,,,1.1,,,,0.94,0.13,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,12-08-01,05/31/2012,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.3,,,8.4,0.0158,,236.1,18,23,0.478,,0.025,0.051581,,,7,,36.4,,11.6,,,,,,ND,,,,,,,,3,3,3
1005GLE0441,Glen Lake,8,12-08-02,06/12/2012,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,2.95,,,7.13,0.0137,,287.4,20,22,0.242,,0.005,0.005,,,27,,,,6.1,,,,1.97,0.09,ND,,,,,,,,3,3,3
1005GLE0441,Glen Lake,8,12-08-03,07/02/2012,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,,3,,,7.09,0.0105,,366.6,21,25,0.373,,0.043,0.018962,,,20,,,,2.5,,,,3.18,1.04,ND,,,,,,,,2,3,3
1005GLE0441,Glen Lake,8,12-08-04,07/17/2012,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.55,,,7.75,0.0073,,378.8,23,27,0.324,,0.034,0.005,,,29,,,,3.1,,,,2.6,1.2,ND,,,,,,,,2,3,3
1005GLE0441,Glen Lake,8,12-08-05,07/31/2012,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.55,,,7.13,0.009,,377.7,23,25,0.366,,0.018501,0.005,,,7,,35.5,,2,,,,1.73,0.82,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,12-08-06,08/11/2012,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.7,,,6.97,0.0067,,373.6,23,26,0.303,,0.116,0.005,,,7,,,,1.6,,,,2.99,2.11,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,12-08-07,08/20/2012,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.7,,,7.27,0.0075,,333.5,17,25,0.313,,0.039,0.005,,,29,,,,1.7,,,,2.67,1.99,ND,,,,,,,,2,4,3
1005GLE0441,Glen Lake,8,14-08-01,06/09/2014,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,2.85,,,7.13,0.009,,393.6,20,24,0.243,,0.024,0.005,,,6,,,,4.6,,,,1.59,0,ND,,,,,,,,2,4,3
1005GLE0441,Glen Lake,8,14-08-11,06/09/2014,CSL,BS,1005GLE0441_C,43.3636017,-73.6732025,15,,,,,0.0181,,,,,,,0.355,,,,,,,,,,,,,,,,,,,,,,,,
1005GLE0441,Glen Lake,8,14-08-12,06/24/2014,CSL,BS,1005GLE0441_C,43.3636017,-73.6732025,15,,,,,0.0108,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
1005GLE0441,Glen Lake,8,14-08-02,06/24/2014,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.35,,,7.55,0.0095,,379.1,21,24,0.352,,0,,,,8,,,,2.8,,,,1.86,0,ND,,,,,,,,3,4,3
1005GLE0441,Glen Lake,8,14-08-13,07/01/2014,CSL,BS,1005GLE0441_C,43.3636017,-73.6732025,15,,,,,0.0114,,,,,,,0.139,,,,,,,,,,,,,,,,,,,,,,,,
1005GLE0441,Glen Lake,8,14-08-03,07/01/2014,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.55,,,7.17,0.0074,,374.3,29,26,0.306,,0.027,0.011767,,,9,,,,3.9,,,,1.1,0,ND,,,,,,,,3,4,3
1005GLE0441,Glen Lake,8,14-08-14,07/15/2014,CSL,BS,1005GLE0441_C,43.3636017,-73.6732025,15,,,,,0.0229,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
1005GLE0441,Glen Lake,8,14-08-04,07/15/2014,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,3.65,,,7.67,0.016,,296.9,22,26,0.29,,0,,,,8,,,,1.4,,,,1.01,0,ND,,,,,,,,2,3,2
1005GLE0441,Glen Lake,8,14-08-05,07/29/2014,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4.45,,,7.26,0.0062,,382.4,20,24,0.298,,0.036,0.005,,,2,,,,2.1,,,,1.2,0,ND,,,,,,,,2,3,3
1005GLE0441,Glen Lake,8,14-08-15,07/29/2014,CSL,BS,1005GLE0441_C,43.3636017,-73.6732025,15,,,,,0.021,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,
1005GLE0441,Glen Lake,8,14-08-16,08/12/2014,CSL,BS,1005GLE0441_C,43.3636017,-73.6732025,15,,,,,0.0161,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
1005GLE0441,Glen Lake,8,14-08-06,08/12/2014,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4.9,,,7.29,0.0056,,390.8,22,25,0.455,,0,,,,2,,,,1.3,,,,0.46,0,ND,,,,,,,,2,2,2
1005GLE0441,Glen Lake,8,14-08-17,08/24/2014,CSL,BS,1005GLE0441_C,43.3636017,-73.6732025,15,,,,,0.0235,,,,,,,0.156,,,,,,,,,,,,,,,,,,,,,,,,
1005GLE0441,Glen Lake,8,14-08-07,08/24/2014,CSL,OW,1005GLE0441_C,43.3636017,-73.6732025,1.5,4.7,,,7.38,0.0066,,376.6,19,22,0.286,,0.007,0.005,,,6,,,,2.2,,,,2.46,0.96,ND,,,,,,,,2,2,2
1005GLE0441,Glen Lake,8,15-08-11,06/10/2015,CSL,BS,1005GLE0441_C,43.3636017,-73.6732025,,,,,,0.2302,,,,8,,,0.208,,,,,,,,,,,,,,,,,,,,,,,,
1005GLE0441,Glen Lake,8,15-08-12,06/22/2015,CSL,BS,1005GLE0441_C,43.3636017,-73.6732025,,,,,,0.1006,,,,9,,,0,,,,,,,,,,,,,,,,,,,,,,,,
