LakeID,Lake_Name,Sample_Year,Dreissenids
1005GLE0441,Glen Lake,2016,Invaded
1005GLE0441,Glen Lake,2015,Invaded
1005GLE0441,Glen Lake,2012,Invaded
1005GLE0441,Glen Lake,2014,Invaded
1005GLE0441,Glen Lake,2013,Invaded
1005GLE0441,Glen Lake,2017,Invaded
0602CRO0073,Crooked Lake,2016,Uninvaded
0602CRO0073,Crooked Lake,2015,Uninvaded
0602CRO0073,Crooked Lake,2012,Uninvaded
0602CRO0073,Crooked Lake,2013,Uninvaded
0602CRO0073,Crooked Lake,2014,Uninvaded
0602CRO0073,Crooked Lake,2017,Uninvaded
0602PET0078,Lake Petonia,2016,Uninvaded
0602PET0078,Lake Petonia,2015,Uninvaded
0602PET0078,Lake Petonia,2012,Uninvaded
0602PET0078,Lake Petonia,2013,Uninvaded
0602PET0078,Lake Petonia,2014,Uninvaded
0602PET0078,Lake Petonia,2017,Uninvaded
0703TUS0153A,Tuscarora Lake,2016,Invaded
0703TUS0153A,Tuscarora Lake,2015,Invaded
0703TUS0153A,Tuscarora Lake,2012,Invaded
0703TUS0153A,Tuscarora Lake,2013,Invaded
0703TUS0153A,Tuscarora Lake,2017,Invaded
0201CUB0115,Cuba Lake,2016,Uninvaded
0201CUB0115,Cuba Lake,2015,Uninvaded
0201CUB0115,Cuba Lake,2012,Uninvaded
0201CUB0115,Cuba Lake,2013,Uninvaded
0201CUB0115,Cuba Lake,2014,Uninvaded
0201CUB0115,Cuba Lake,2017,Uninvaded
1104SAC0314,Sacandaga Lake,2012,Uninvaded
1104SAC0314,Sacandaga Lake,2013,Uninvaded
1104SAC0314,Sacandaga Lake,2017,Uninvaded
1102BAB1109,Babcock Lake,2016,Uninvaded
1102BAB1109,Babcock Lake,2014,Uninvaded
1102BAB1109,Babcock Lake,2015,Uninvaded
1102BAB1109,Babcock Lake,2012,Uninvaded
1102BAB1109,Babcock Lake,2013,Uninvaded
1102BAB1109,Babcock Lake,2017,Uninvaded
1404OQU0383,Oquaga Lake,2016,Uninvaded
1404OQU0383,Oquaga Lake,2015,Uninvaded
1404OQU0383,Oquaga Lake,2012,Uninvaded
1404OQU0383,Oquaga Lake,2013,Uninvaded
1404OQU0383,Oquaga Lake,2014,Uninvaded
1404OQU0383,Oquaga Lake,2017,Uninvaded
1104SCH0374,Schroon Lake,2012,Uninvaded
1104SCH0374,Schroon Lake,2013,Uninvaded
1104SCH0374,Schroon Lake,2014,Uninvaded
1104SCH0374,Schroon Lake,2015,Uninvaded
1104SCH0374,Schroon Lake,2016,Uninvaded
1104SCH0374,Schroon Lake,2017,Uninvaded
0602HAT0155,Hatch Lake,2016,Invaded
0602HAT0155,Hatch Lake,2012,Uninvaded
0602HAT0155,Hatch Lake,2013,Invaded
0602HAT0155,Hatch Lake,2014,Invaded
0602HAT0155,Hatch Lake,2017,Invaded
0602EAR0146,Craine Lake,2016,Invaded
0602EAR0146,Craine Lake,2013,Invaded
0602EAR0146,Craine Lake,2015,Invaded
