Lake_Name,Sample_Year,Dreissenids,Years_Invaded
Cazenovia Lake,1986,0,NA
Cazenovia Lake,1988,0,NA
Cazenovia Lake,1989,0,NA
Cazenovia Lake,1990,0,NA
Cazenovia Lake,1991,0,NA
Cazenovia Lake,1992,0,NA
Cazenovia Lake,1993,0,NA
Cazenovia Lake,1994,0,NA
Cazenovia Lake,1995,0,NA
Cazenovia Lake,1996,0,NA
Cazenovia Lake,1997,1,1
Cazenovia Lake,1998,1,2
Cazenovia Lake,1999,1,3
Cazenovia Lake,2000,1,4
Cazenovia Lake,2001,1,5
Cazenovia Lake,2002,1,6
Cazenovia Lake,2003,1,7
Cazenovia Lake,2004,1,8
Cazenovia Lake,2005,1,9
Cazenovia Lake,2006,1,10
Cazenovia Lake,2007,1,11
Cazenovia Lake,2008,1,12
Cazenovia Lake,2009,1,13
Cazenovia Lake,2010,1,14
Cazenovia Lake,2011,1,15
Cazenovia Lake,2012,1,16
Cazenovia Lake,2013,1,17
Cazenovia Lake,2014,1,18
Cazenovia Lake,2015,1,19
Cazenovia Lake,2016,1,20
Cazenovia Lake,2017,1,21
Craine Lake,1986,0,NA
Craine Lake,1988,0,NA
Craine Lake,1989,0,NA
Craine Lake,1990,0,NA
Craine Lake,1991,0,NA
Craine Lake,1992,0,NA
Craine Lake,1993,0,NA
Craine Lake,1994,0,NA
Craine Lake,1995,0,NA
Craine Lake,1996,0,NA
Craine Lake,1997,0,NA
Craine Lake,1998,0,NA
Craine Lake,1999,0,NA
Craine Lake,2000,0,NA
Craine Lake,2001,0,NA
Craine Lake,2002,0,NA
Craine Lake,2003,0,NA
Craine Lake,2004,0,NA
Craine Lake,2005,0,NA
Craine Lake,2006,0,NA
Craine Lake,2007,0,NA
Craine Lake,2008,1,1
Craine Lake,2009,1,2
Craine Lake,2010,1,3
Craine Lake,2011,1,4
Craine Lake,2012,1,5
Craine Lake,2013,1,6
Craine Lake,2014,1,7
Craine Lake,2015,1,8
Craine Lake,2016,1,9
Craine Lake,2017,1,10
De Ruyter Reservoir,1986,0,NA
De Ruyter Reservoir,1988,0,NA
De Ruyter Reservoir,1989,0,NA
De Ruyter Reservoir,1990,0,NA
De Ruyter Reservoir,1991,0,NA
De Ruyter Reservoir,1992,0,NA
De Ruyter Reservoir,1993,0,NA
De Ruyter Reservoir,1994,0,NA
De Ruyter Reservoir,1995,0,NA
De Ruyter Reservoir,1996,0,NA
De Ruyter Reservoir,1997,0,NA
De Ruyter Reservoir,1998,0,NA
De Ruyter Reservoir,1999,0,NA
De Ruyter Reservoir,2000,0,NA
De Ruyter Reservoir,2001,0,NA
De Ruyter Reservoir,2002,0,NA
De Ruyter Reservoir,2003,0,NA
De Ruyter Reservoir,2004,0,NA
De Ruyter Reservoir,2005,0,NA
De Ruyter Reservoir,2006,0,NA
De Ruyter Reservoir,2007,0,NA
De Ruyter Reservoir,2008,0,NA
De Ruyter Reservoir,2009,0,NA
De Ruyter Reservoir,2010,0,NA
De Ruyter Reservoir,2011,1,NA
De Ruyter Reservoir,2012,1,NA
De Ruyter Reservoir,2013,1,NA
De Ruyter Reservoir,2014,1,NA
De Ruyter Reservoir,2015,1,NA
De Ruyter Reservoir,2016,1,NA
De Ruyter Reservoir,2017,1,NA
Eaton Brook Reservoir,1986,0,NA
Eaton Brook Reservoir,1988,0,NA
Eaton Brook Reservoir,1989,0,NA
Eaton Brook Reservoir,1990,0,NA
Eaton Brook Reservoir,1991,0,NA
Eaton Brook Reservoir,1992,0,NA
Eaton Brook Reservoir,1993,0,NA
Eaton Brook Reservoir,1994,0,NA
Eaton Brook Reservoir,1995,0,NA
Eaton Brook Reservoir,1996,0,NA
Eaton Brook Reservoir,1997,0,NA
Eaton Brook Reservoir,1998,0,NA
Eaton Brook Reservoir,1999,1,1
Eaton Brook Reservoir,2000,1,2
Eaton Brook Reservoir,2001,1,3
Eaton Brook Reservoir,2002,1,4
Eaton Brook Reservoir,2003,1,5
Eaton Brook Reservoir,2004,1,6
Eaton Brook Reservoir,2005,1,7
Eaton Brook Reservoir,2006,1,8
Eaton Brook Reservoir,2007,1,9
Eaton Brook Reservoir,2008,1,10
Eaton Brook Reservoir,2009,1,11
Eaton Brook Reservoir,2010,1,12
Eaton Brook Reservoir,2011,1,13
Eaton Brook Reservoir,2012,1,14
Eaton Brook Reservoir,2013,1,15
Eaton Brook Reservoir,2014,1,16
Eaton Brook Reservoir,2015,1,17
Eaton Brook Reservoir,2016,1,18
Eaton Brook Reservoir,2017,1,19
Glen Lake,1986,0,NA
Glen Lake,1988,0,NA
Glen Lake,1989,0,NA
Glen Lake,1990,0,NA
Glen Lake,1991,0,NA
Glen Lake,1992,0,NA
Glen Lake,1993,0,NA
Glen Lake,1994,0,NA
Glen Lake,1995,0,NA
Glen Lake,1996,1,1
Glen Lake,1997,1,2
Glen Lake,1998,1,3
Glen Lake,1999,1,4
Glen Lake,2000,1,5
Glen Lake,2001,1,6
Glen Lake,2002,1,7
Glen Lake,2003,1,8
Glen Lake,2004,1,9
Glen Lake,2005,1,10
Glen Lake,2006,1,11
Glen Lake,2007,1,12
Glen Lake,2008,1,13
Glen Lake,2009,1,14
Glen Lake,2010,1,15
Glen Lake,2011,1,16
Glen Lake,2012,1,17
Glen Lake,2013,1,18
Glen Lake,2014,1,19
Glen Lake,2015,1,20
Glen Lake,2016,1,21
Glen Lake,2017,1,22
Hatch Lake,1986,0,NA
Hatch Lake,1988,0,NA
Hatch Lake,1989,0,NA
Hatch Lake,1990,0,NA
Hatch Lake,1991,0,NA
Hatch Lake,1992,0,NA
Hatch Lake,1993,0,NA
Hatch Lake,1994,0,NA
Hatch Lake,1995,0,NA
Hatch Lake,1996,0,NA
Hatch Lake,1997,0,NA
Hatch Lake,1998,0,NA
Hatch Lake,1999,0,NA
Hatch Lake,2000,0,NA
Hatch Lake,2001,0,NA
Hatch Lake,2002,0,NA
Hatch Lake,2003,0,NA
Hatch Lake,2004,0,NA
Hatch Lake,2005,0,NA
Hatch Lake,2006,0,NA
Hatch Lake,2007,0,NA
Hatch Lake,2008,0,NA
Hatch Lake,2009,0,NA
Hatch Lake,2010,0,NA
Hatch Lake,2011,0,NA
Hatch Lake,2012,0,NA
Hatch Lake,2013,1,1
Hatch Lake,2014,1,2
Hatch Lake,2015,1,3
Hatch Lake,2016,1,4
Hatch Lake,2017,1,5
Tuscarora Lake,1986,0,NA
Tuscarora Lake,1988,0,NA
Tuscarora Lake,1989,0,NA
Tuscarora Lake,1990,0,NA
Tuscarora Lake,1991,0,NA
Tuscarora Lake,1992,0,NA
Tuscarora Lake,1993,0,NA
Tuscarora Lake,1994,0,NA
Tuscarora Lake,1995,0,NA
Tuscarora Lake,1996,0,NA
Tuscarora Lake,1997,0,NA
Tuscarora Lake,1998,0,NA
