LakeID,Lake_Name,CA:SA,Mean_Depth_m,Dreissenids
1004AUG0213,Augur Lake,7.421465969,3,0
1102BAB1109,Babcock Lake,6.629834254,4.6,0
1301BOW0444,Big Bowman Pond,18.07692308,5,0
0602BRA0154,Bradley Brook Reservoir,11.63157895,4.2,0
0801BRA0689,Brantingham Lake,4.97730711,8.6,0
1301BUR0386C,Burden Third Lake,7.635135135,3,0
1201CAN0717,Canada Lake,210.4247104,21.3,0
0703CAZ0153,Cazenovia Lake,4.653589316,7.1,1
0601CHE0213,Chenango Lake,3.658536585,4.3,0
0602EAR0146,Craine Lake,4.807692308,3.7,1
0602CRO0073,Crooked Lake,19.3776824,4.9,0
0201CUB0115,Cuba Lake,35.92169657,5.2,0
0703DER0139A,De Ruyter Reservoir,4.4873502,7.2,1
1104EAG0438,Eagle Lake,5.833820948,5.4,0
0902EAG0083,Eagle Pond,8.516129032,0.4,0
1201ECA0697,East Caroga Lake,2.144388849,3.9,0
0602EAT0163,Eaton Brook Reservoir,16.58088235,6.2,1
0602ECH0081,Echo Lake,10.54054054,4.8,0
1104EFN0129,Efner Lake,10.53984576,4.2,0
1104FOR0340,Forest Lake,10.8974359,2.2,0
1104FRI0365,Friends Lake,7.830342577,4.2,0
1201GAL0563,Galway Lake,11.4013346,2.6,0
0602GEN0088,Geneganslet Lake,31.52173913,8.5,0
1005GLE0441,Glen Lake,22.93436293,5.6,1
0906GRA0051,Grass Lake,7.374517375,7.2,0
0601GUI0188,Guilford Lake,7.473684211,8.9,0
1005HAD0432,Hadlock Pond,20.36804309,5,0
0602HAT0155,Hatch Lake,6.507352941,6.6,1
1104HUN0131,Hunt Lake,10.29411765,3.8,0
1301IND0167,Indian Lake,4.299516908,9.2,0
1104JEN0130,Jenny Lake,23.14540059,5.5,0
0703KAS0109,Kasoag Lake,97.38197425,2.1,0
1401ANA0251,Lake Anawanda,5.161290323,6.6,0
0906BON0024,Lake Bonaparte,9.162504802,9.4,0
1401DEV0174,Lake Devenoge,1.793103448,8,0
1301FOR0441,Lake Forest,17.01657459,1.6,0
0906OTH0009,Lake of the Woods,4.011887073,13,0
0602PET0078,Lake Petonia,17.21153846,4.5,0
1004PLA0254,Lake Placid,4.531029619,8.8,0
1104PLE0313,Lake Pleasant,5.490566038,8.8,0
1005SUN0440,Lake Sunnyside,6.057692308,4.6,0
1004LIN0315,Lincoln Pond,13.71271855,3,0
1701LLO0708,Little Long Pond,18.84615385,2.9,0
0404LOO0079,Loon Lake,8.945022288,6.1,0
0303LOR0009,Lorton Lake,54.94505495,1.4,0
0906MIL0055,Millsite Lake,2.052785924,12.8,0
1404OQU0383,Oquaga Lake,11.58088235,13.9,0
0801OTT0926,Otter Lake,5.245614035,1.4,0
0703PAN0094,Panther Lake,8.089430894,2.6,0
1201PEC0686,Peck Lake,8.948222984,5.8,0
1201PLE0745,Pleasant Lake,3.455284553,6.7,0
1310QUE0057,Queechy Lake,4.247104247,5.6,0
1301ROA0183B,Roaring Brook Lake,10,2,0
1310ROU0080,Round Pond,10.96153846,2.2,0
0403RUS0146,Rushford Lake,12.08981002,14.3,0
1104SAC0314,Sacandaga Lake,8.017990074,8.5,0
1104SCH0374,Schroon Lake,81.40787741,17,0
1301SEP0826,Sepasco Lake,14.32692308,4.2,0
0904SIL0351,Silver Lake,2.947154472,3.7,0
1401SOM0268,Somerset Lake,5.120772947,6.1,0
0602SON0072,Song Lake,5.795454545,4,0
1310SPR0081,Spring Lake,3.846153846,4,0
1102TAC1129,Taconic Lake,8.846153846,4.7,0
0602TUL0068,Tully Lake,0.740343348,4.7,0
0703TUS0153A,Tuscarora Lake,10.78037007,4.3,1
1501TUX1007,Tuxedo Lake,12.69296741,8.9,0
0602ULI0067,Upper Little York Lake,189.8550725,9.9,1
0602WAR0094,Warn Lake,20.69230769,3.7,0
1402YAN0021,Yankee Lake,4.221954162,1.8,0
